Tópico,Palavras,Pesos
837,"refrigerantes, faltava, videozinho, medicinais, expostas, abandonar, inaceitavel, nelia, consumo, planta","[0.1142, 0.1019, 0.0995, 0.0807, 0.0786, 0.0682, 0.0643, 0.0559, 0.0526, 0.0526]"
838,"pontes, marcos, vaga, 222, astronauta, marcio, senador, suplente, franca, senado","[0.1812, 0.0946, 0.0547, 0.0425, 0.041, 0.038, 0.0373, 0.0352, 0.0323, 0.0265]"
839,"vistaroraima, comercios, fechando, comerciantes, teofilo, otoni, fecham, portas, visita, greve","[0.2422, 0.1786, 0.168, 0.0704, 0.0611, 0.0541, 0.0537, 0.0405, 0.0389, 0.0367]"
840,"adriano, adrian, managing, tool, groups, professional, adriani, welcome, adria, knopf","[0.1675, 0.106, 0.037, 0.037, 0.0369, 0.0369, 0.0369, 0.0365, 0.035, 0.035]"
841,"caribe, pittoli, financiadas, radialista, carvalho, provadas, governos, propagandas, america, bauru","[0.1249, 0.1203, 0.1178, 0.0845, 0.0717, 0.0695, 0.0575, 0.054, 0.049, 0.0474]"
842,"allandossantos, durar, envolvidos, imperium, slalom, vence, plim, diretonoticias, gira, flotar","[1.0392, 0.2961, 0.2083, 0.1591, 0.1591, 0.1591, 0.1367, 0.1181, 0.1009, 0.0866]"
843,"decorridos, faltam, outubro, 2022, acabar, ano, novembro, mundial, nestas, engenheiro","[0.1703, 0.0876, 0.0782, 0.0647, 0.0474, 0.0325, 0.0301, 0.028, 0.0209, 0.0198]"
844,"spostar, pedimos, comprovantes, tmeewzipdz42veynzjh, foco, relate, digitando, rj, perceber, administradores","[0.1293, 0.0609, 0.0606, 0.0529, 0.026, 0.0257, 0.0256, 0.0253, 0.0241, 0.0233]"
845,"lassalle, frances, secretamente, jean, excandidato, rairfoundation, transmitida, emmanuel, ntd, adiantara","[0.117, 0.0927, 0.088, 0.0832, 0.0726, 0.0636, 0.0587, 0.0578, 0.0535, 0.0511]"
846,"condicionando, estilo, credito, temeremos, chines, flow, reinicializacao, recordesde, selecionamos, podcast","[0.0982, 0.0798, 0.0558, 0.0554, 0.0547, 0.0519, 0.046, 0.0439, 0.0415, 0.0388]"
847,"totalizadas, secoes, 7331, 5459, 5221, 055, 802, 1363, 4119, 8555","[0.9693, 0.5233, 0.1675, 0.1574, 0.1032, 0.08, 0.078, 0.078, 0.0711, 0.0688]"
848,"algoritmo, detectaram, rondam, irrefutaveis, sujeiras, estudado, terminado, prenderam, anularam, tranquilos","[0.041, 0.0385, 0.038, 0.0378, 0.0365, 0.0338, 0.0335, 0.0332, 0.0311, 0.0305]"
849,"visite, focopatriota, tambrm, site, patriotablogspotcome, inscreva, ligapatriota, tmeligapatriota, rumble, http","[0.6273, 0.3756, 0.161, 0.1425, 0.1142, 0.109, 0.0989, 0.063, 0.0517, 0.0512]"
850,"egito, arabe, mubarak, primavera, tailandia, persistencia, pauta, httptmedurvalensinareserva, ficou, dias","[0.0764, 0.0368, 0.0298, 0.0289, 0.0234, 0.0213, 0.0206, 0.0198, 0.0195, 0.0193]"
851,"jodas, valter, nena, vo, senhoria, tiktok, corre, jovem, pan, jovempan","[0.5662, 0.3705, 0.0993, 0.0621, 0.0578, 0.0539, 0.0479, 0.0462, 0.0447, 0.041]"
852,"chad, buennnn, onix, joinvillesc, mourao, bolsonaro, 1900, hrs, cade, line","[0.1794, 0.1163, 0.0964, 0.076, 0.0589, 0.0506, 0.0499, 0.0482, 0.0473, 0.045]"
853,"banheiro, banheiros, cocorico, penis, higienico, unissex, unisex, filhas, neutro, ensina","[0.1951, 0.1121, 0.0569, 0.0532, 0.0373, 0.0312, 0.0307, 0.0301, 0.023, 0.0229]"
854,"r12000, r1000, espectadores, hearts, ativos, oportunidade, 12, horas, investir, apenas","[0.3583, 0.3263, 0.2339, 0.2137, 0.1804, 0.0869, 0.0732, 0.0574, 0.0482, 0.0368]"
855,"gerenciamento, computadorsmartphone, manifeste, entramos, paranapesquisascombr, ip, telefone, divulgada, registrado, intencao","[0.086, 0.0823, 0.0672, 0.0643, 0.0629, 0.0601, 0.0524, 0.052, 0.0511, 0.0441]"
856,"desapropriacoes, consumo, quarentena, multas, confisco, covardes, insetos, rastejarao, 14fim, 6regulacao","[0.0337, 0.0334, 0.0321, 0.0301, 0.0295, 0.0255, 0.0242, 0.023, 0.0229, 0.0229]"
857,"tmealexeconomia, exterior, boca, urna, , , , , , ","[0.6421, 0.0347, 0.0266, 0.0185, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
858,"natal, veiga, leveck, 31, walter, roberto, feedback, ativar, jonatas, conectese","[0.1646, 0.1566, 0.12, 0.0897, 0.0761, 0.0382, 0.0355, 0.0336, 0.0332, 0.0328]"
859,"aluminio, asma, cdc, persistente, vacinas, estudo, recomendadas, financiado, autismo, exposicao","[0.1463, 0.1211, 0.0495, 0.0492, 0.0404, 0.0352, 0.0319, 0.0298, 0.029, 0.028]"
860,"bergler, macapa, rodrigo, 30, conectese, feedback, ativar, bot, comigo, comecar","[0.2955, 0.2029, 0.1078, 0.0464, 0.0371, 0.0349, 0.0331, 0.03, 0.027, 0.0214]"
861,"tmearthursennatrader2, gostando, querida, acredite, confiar, bendiga, negocios, poderia, parabens, mearthursennatrader2","[0.34, 0.076, 0.0582, 0.0468, 0.044, 0.0356, 0.0333, 0.0318, 0.0311, 0.0305]"
862,"pau, mao, intervencao, , , , , , , ","[0.168, 0.1526, 0.0681, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
863,"sabonete, 7f62a9eaea2244478f01a48103ba6ed4, 319, dente, continuarem, pasta, doacoes, parados, higienico, itens","[0.1609, 0.155, 0.1425, 0.1355, 0.1295, 0.1171, 0.113, 0.1116, 0.1089, 0.1062]"
864,"votem, twitter, voteemmmm, blogueiro, ferramemra, suica, rt, boraa, seguidores, vencemos","[0.0552, 0.054, 0.0479, 0.0377, 0.0337, 0.0326, 0.0314, 0.0283, 0.0267, 0.0246]"
865,"rejeicao, papafanurakis, substituta, custodias, isabele, bonitos, insegura, santificar, brinque, subtrair","[0.196, 0.0296, 0.0294, 0.0291, 0.0285, 0.0285, 0.0285, 0.0285, 0.0283, 0.0278]"
866,"lima, roberto, darc, joana, prelionaio, elionaio, robson, video, serissimas, neli","[0.4843, 0.2054, 0.1788, 0.1378, 0.0928, 0.0928, 0.0721, 0.0622, 0.0505, 0.0464]"
867,"transfiro, reais, imediato, fisico, r50000, 2000000, satisfeitos, banco, fazemos, negocio","[0.1323, 0.1004, 0.049, 0.0401, 0.0385, 0.0376, 0.0329, 0.029, 0.0243, 0.024]"
868,"libacao, israel, juda, jaco, holocausto, carneirinho, aroma, farinha, oferecido, perpetuo","[0.0304, 0.0302, 0.0267, 0.024, 0.0228, 0.0222, 0.0206, 0.0192, 0.0183, 0.0178]"
869,"clara, criativos, seguilo, venha, conosco, acreditado, divergencia, honestos, rapidos, neymar","[0.056, 0.0526, 0.048, 0.0465, 0.0448, 0.0427, 0.0418, 0.0412, 0.0407, 0.0403]"
870,"clickpetroleoegas, cliquem, clique, clicar, joaoeymard, multiplicam, clica, emojis, informacoes, clic","[0.1671, 0.1126, 0.1066, 0.0809, 0.0775, 0.0546, 0.0536, 0.0536, 0.0482, 0.0391]"
871,"anjoso, ruy, velho, 27, porto, conectese, feedback, ativar, bot, comigo","[0.2755, 0.2619, 0.1189, 0.087, 0.0796, 0.0344, 0.033, 0.0313, 0.0284, 0.025]"
872,"boletin, corram, razoes, apurada, ausentes, corra, permito, falaremos, detalhadamente, puxar","[0.0646, 0.0587, 0.0582, 0.0553, 0.0547, 0.052, 0.0493, 0.0478, 0.0478, 0.0461]"
873,"cida, gislaine, video, macedo, , , , , , ","[1.9721, 0.1108, 0.0977, 0.0307, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
874,"gowert, marta, soares, paula, filmaram, lucena, gira, exata, magda, helder","[0.3901, 0.2784, 0.2647, 0.1762, 0.0866, 0.0787, 0.0763, 0.0715, 0.0637, 0.0583]"
875,"better, life, plataforma, find, platform, investment, believe, earlier, encontrei, when","[0.0375, 0.0336, 0.032, 0.0288, 0.0282, 0.0275, 0.0257, 0.0248, 0.0202, 0.0194]"
876,"horario, atualizando, filamgem, feitoa, coloquem, beijar, horariosdias, privilegiadoalias, anosesta, anotarem","[0.083, 0.0514, 0.0478, 0.0478, 0.0292, 0.0263, 0.0263, 0.0263, 0.0263, 0.0263]"
877,"7092, heber, 7973, galhardi, lgsilveira61, aleluiz0903, joseclaudio49, campello1, neidiaalvarenga123user, 719780","[0.4475, 0.4069, 0.2718, 0.2718, 0.2192, 0.1707, 0.1413, 0.0993, 0.0993, 0.0942]"
878,"marcio, willis, francisco, marcelop, franca, video, russo, franquilin, mariana, rubinho","[0.3252, 0.1913, 0.1512, 0.1356, 0.0985, 0.0909, 0.0805, 0.0738, 0.0726, 0.0643]"
879,"boasvindas, acredite, si, deixeme, realizando, duvide, duvidar, alcancar, agem, duvidando","[0.037, 0.0334, 0.0329, 0.0328, 0.032, 0.03, 0.0284, 0.0278, 0.0277, 0.0271]"
880,"esposa, esposo, marido, expiatorio, bode, encontrou, carnica, careca, casado, pesquize","[0.2555, 0.0586, 0.0577, 0.055, 0.0447, 0.0378, 0.0349, 0.0335, 0.0335, 0.0325]"
881,"criptos, avancado, off, quant, interacao, aprendizado, relevantes, introducao, aulas, panorama","[0.0495, 0.0305, 0.0297, 0.0257, 0.0235, 0.0231, 0.0225, 0.0213, 0.0212, 0.02]"
882,"managing, tool, groups, professional, welcome, manuel, loureiro, antonio, telegram, juan","[0.0372, 0.0372, 0.0371, 0.0371, 0.0367, 0.0343, 0.0269, 0.0258, 0.0239, 0.0235]"
883,"leiloes, arrecadacao, promovidos, arrematados, certames, senadmjsp, bens, mensal, 403, ativos","[0.1148, 0.1072, 0.0587, 0.0446, 0.0446, 0.0446, 0.0446, 0.0444, 0.0437, 0.0422]"
884,"chuva, chover, chovendo, chuvas, programe, choveu, frio, meteorologistas, sjc, lona","[0.1325, 0.0483, 0.0453, 0.0446, 0.0412, 0.0366, 0.0322, 0.0254, 0.022, 0.0194]"
885,"212, 001, 00, 0207, york, 917, hnana, wnana, ny212, 212h","[0.0798, 0.0698, 0.0683, 0.0603, 0.0443, 0.0403, 0.039, 0.0331, 0.0324, 0.0297]"
886,"provas, protocoladas, usalas, solicitadas, recolhendo, xuxu, sossossos, prova, serias, mesmosptse","[0.1389, 0.0433, 0.0337, 0.0325, 0.0281, 0.0246, 0.0223, 0.022, 0.0203, 0.0201]"
887,"kwai, 12000000, golds, semanalmente, ganharemos, impulsionar, usdt, gostando, bnb, aceitamos","[0.2582, 0.2004, 0.1979, 0.1808, 0.1614, 0.1509, 0.108, 0.0966, 0.0909, 0.0791]"
888,"gilberto, natal, 27, whatsapp, giovanni, hector, viamao, conectese, juarez, niteroi","[0.0886, 0.0766, 0.0535, 0.0411, 0.0401, 0.038, 0.0369, 0.036, 0.0348, 0.0342]"
889,"ratoeira, rato, fazendeiro, desculpeme, mulher, vaca, febre, comendo, galinha, correu","[0.1229, 0.0729, 0.0719, 0.0324, 0.0315, 0.0315, 0.0308, 0.0273, 0.0271, 0.027]"
890,"domingos, guarulhos, silveira, 29, conectese, feedback, ativar, bot, comigo, comecar","[0.2245, 0.1997, 0.1146, 0.0968, 0.0365, 0.0344, 0.0326, 0.0295, 0.0265, 0.0211]"
891,"bilu, sapato, cansado, issoessa, mundoso, streamentao, istragao, odaniel, swiping, epoxi","[0.0336, 0.0249, 0.0229, 0.0213, 0.0213, 0.0213, 0.0213, 0.0213, 0.0213, 0.0213]"
892,"coincidencia, coincidencias, bruto, semelhanca, consistencias, mera, destinofaz, darko, surtaram, saquem","[0.4591, 0.1791, 0.1323, 0.0909, 0.0891, 0.0642, 0.0485, 0.0485, 0.0485, 0.0446]"
893,"orientalo, depositar, comecara, enviados, recebera, negociacao, converter, valor, endereco, confirmado","[0.165, 0.1337, 0.1309, 0.1247, 0.1222, 0.1218, 0.107, 0.0897, 0.0852, 0.0848]"
894,"altomuito, concessoes, maravilhoso, prometemos, beneficiando, faremos, felizes, agradavel, paciente, sensacao","[0.0919, 0.066, 0.0595, 0.0483, 0.0425, 0.0418, 0.0338, 0.0312, 0.028, 0.0275]"
895,"twitch, roxinha, blanco, phvox, convidado, looneyt, fabio, especial, venha, passar","[1.4172, 0.2174, 0.1767, 0.1317, 0.0962, 0.0832, 0.0601, 0.0494, 0.0451, 0.0286]"
896,"verdadecensurada, participe, acesse, covid19, siga, sueco, gettr, vacinado, altera, chances","[0.1231, 0.0923, 0.0639, 0.0622, 0.0573, 0.0571, 0.056, 0.05, 0.0496, 0.0458]"
897,"244, portugues, ingles, escatologica, directo, docs, presencial, luandaangola, talatona, radioctjerusalem","[0.0856, 0.0719, 0.0676, 0.0601, 0.0545, 0.0532, 0.0531, 0.0522, 0.0522, 0.0522]"
898,"bentes, ativo, agente, manaus, cria, bloqueado, castanho, atualmente, bloquear, fernando","[0.1545, 0.1391, 0.1058, 0.0865, 0.0728, 0.0661, 0.0658, 0.0622, 0.0617, 0.0475]"
899,"dirceu, bolchevique, lul4, calamos, cagaram, exterminados, assassina, desarmado, fortalecemos, etcdo","[0.0173, 0.014, 0.0118, 0.0116, 0.0089, 0.0087, 0.0069, 0.0068, 0.0068, 0.0068]"
900,"fraude, dominada, fraudador, identicos, fraudes, globalistas, lembre, ocorrido, vapor, ateo","[0.0357, 0.028, 0.0233, 0.0206, 0.0195, 0.0194, 0.0189, 0.0177, 0.0177, 0.0162]"
901,"compartilhe, merd, arregar, oucam, sigam, perguntar, tb, acesse, faca, saber","[0.4131, 0.0902, 0.0847, 0.0511, 0.0373, 0.0339, 0.0287, 0.0182, 0.0126, 0.0125]"
902,"teatro, tesouras, duarte, danca, vaiada, dedicado, regina, bj, vingou, hostilizada","[0.2324, 0.0743, 0.0422, 0.0411, 0.0401, 0.039, 0.0366, 0.0334, 0.0284, 0.0275]"
903,"acreditado, lamentamos, ricardo, trabalho, nacao, regton, muitos, polessi, foto, reinstala","[0.5344, 0.4896, 0.2145, 0.0836, 0.0754, 0.0732, 0.0724, 0.0663, 0.0478, 0.042]"
904,"david, managing, tool, groups, professional, welcome, telegram, davidnguyen, bensaude, banioglli","[0.2646, 0.0388, 0.0388, 0.0387, 0.0387, 0.0383, 0.025, 0.0219, 0.0219, 0.0219]"
905,"bolsominion, cu, come, chupa, pica, gsipdf, pau, requerimento, lula, enviando","[0.3325, 0.2506, 0.1998, 0.1591, 0.1253, 0.0279, 0.0255, 0.0211, 0.0158, 0.0105]"
906,"sousa, campo, 29, feedback, ativar, bot, grande, paulo, comecar, ganhar","[0.2082, 0.1303, 0.106, 0.0376, 0.0357, 0.0323, 0.0295, 0.0285, 0.0231, 0.0198]"
907,"coinfirm, mining, company, bowie, my, seekers, quiet, opportunity, vast, joke","[0.1963, 0.1508, 0.0384, 0.0229, 0.0227, 0.0225, 0.0212, 0.0198, 0.0196, 0.0193]"
908,"pill, red, conhecereis, libertara, 832, coletividadeevolutiva, inscreva, joao, verdade, queridinho","[0.0877, 0.0861, 0.0658, 0.0654, 0.0653, 0.0633, 0.0396, 0.0349, 0.0301, 0.0279]"
909,"gasolina, barata, abasteco, esfregam, liberta, wongtschowski, meter, postos, shell, gas","[0.1324, 0.0785, 0.0492, 0.0492, 0.0483, 0.0414, 0.041, 0.0389, 0.0367, 0.0359]"
910,"youtubeqbtzhb0akt8, daqui, pouco, acompanhe, youtubewnclmh8loi, 2245h, dissecar, comecou, preparese, vivo","[1.2293, 0.2891, 0.2333, 0.0601, 0.0494, 0.0453, 0.0413, 0.0286, 0.0202, 0.0183]"
911,"sorrisos, mimgracias, jornada, ganham, grandes, enormemente, financas, crescendo, nadie, rosto","[0.1321, 0.105, 0.0981, 0.0888, 0.0888, 0.0875, 0.0866, 0.0847, 0.0843, 0.0834]"
912,"atalaia, inscrevam, salvador, tempos, ultimos, compartilhem, ezequiel, canal, trovo, uncut","[0.3446, 0.2164, 0.1449, 0.1301, 0.1176, 0.0696, 0.0505, 0.0436, 0.0428, 0.0379]"
913,"setembro, passado, sete, sofremos, cedeu, acimasenao, muchar, ansiava, aparecercomo, vaida","[0.1449, 0.0318, 0.0311, 0.0233, 0.0228, 0.0214, 0.0214, 0.0214, 0.0214, 0.0214]"
914,"clic, acessar, assistir, audiencia, globo, debate, repassem, globolixo, patriotas, dar","[0.1526, 0.1178, 0.0885, 0.0855, 0.0816, 0.0569, 0.0493, 0.0389, 0.0333, 0.029]"
915,"selva, gazetabrasil, oficial, overseas, fenabrave, 1933, medeiros, agenciabrasil, delegacias, chinesas","[0.1466, 0.1403, 0.0852, 0.0477, 0.0466, 0.0381, 0.0343, 0.0329, 0.031, 0.0308]"
916,"bsbrevista, bxdigitalmkt, kgb, ptlula, conexao, bcb, lista, jcverdadeverdadeira, rbgyqfeass, cmbhsildownload","[1.3336, 0.6993, 0.3379, 0.3241, 0.2553, 0.1425, 0.0971, 0.0943, 0.0943, 0.0943]"
917,"1010, ramiro, ita, faremos, possamos, atingir, completo, saia, coronel, total","[0.104, 0.0853, 0.0826, 0.0723, 0.0682, 0.0663, 0.0565, 0.0522, 0.0467, 0.0454]"
918,"investigue, marialeandro, sorte, perca, observe, salvavidas, saiba, oportunidade, observar, quiser","[0.1302, 0.1232, 0.1136, 0.1056, 0.0977, 0.0931, 0.0482, 0.0474, 0.0442, 0.0402]"
919,"priorizado, emergencias, portfolio, semanal, mensais, supera, constantes, despesas, preocupacoes, escapar","[0.1, 0.0937, 0.0899, 0.0843, 0.0827, 0.0814, 0.0711, 0.069, 0.0689, 0.0689]"
920,"acesse, chat, whatsapp, entrar, reunidos, jackson, abra, coloque, adm, bugs","[0.0727, 0.0698, 0.0687, 0.0552, 0.0492, 0.048, 0.0344, 0.0283, 0.0266, 0.0234]"
921,"alfabetizacao, professores, piso, bilhoes, escolas, programa, escolar, 384563, salarioeducacao, negligenciaram","[0.0477, 0.0465, 0.042, 0.0338, 0.033, 0.0284, 0.026, 0.0211, 0.0211, 0.0211]"
922,"nordestegoiano, desanime, esperam, posso, sonhos, boas, enquete, online, 2o, salario","[0.1639, 0.1116, 0.0904, 0.0765, 0.06, 0.052, 0.05, 0.044, 0.0425, 0.0423]"
923,"prosseguir, depositar, prontos, ativo, investimento, enviar, processo, devem, seguiram, mensagem","[0.2023, 0.1407, 0.1364, 0.1357, 0.0612, 0.0575, 0.057, 0.0532, 0.0429, 0.0366]"
924,"vencerem, bemsucedidas, tornarem, parado, aproveite, fique, vendo, oportunidade, escorpiao, barbudo","[0.3136, 0.2946, 0.2729, 0.2059, 0.1513, 0.0996, 0.0916, 0.0805, 0.0695, 0.0528]"
925,"de, shi, yi, wo, ni, ta, zai, yao, ren, fu","[0.1255, 0.0985, 0.0776, 0.0677, 0.0587, 0.0587, 0.0519, 0.0487, 0.0455, 0.0449]"
926,"gov, 44, presid, lorenzoni, onyx, manato, jorginho, mello, acm, cunha","[0.1637, 0.0594, 0.059, 0.053, 0.0452, 0.0445, 0.0429, 0.0424, 0.0399, 0.0399]"
927,"formula, interlagos, sulfite, automobilistico, 131122, vitrine, a4, sinalizando, fita, sacudir","[0.0827, 0.0613, 0.0589, 0.0587, 0.0579, 0.0574, 0.0565, 0.0539, 0.053, 0.052]"
928,"assimiladas, armadas, bolivariana, desmanteladas, sosfa, forcas, dirigindo, brasilia, dosbatalhoes, bioterroristas","[0.0401, 0.0263, 0.0261, 0.0251, 0.0246, 0.0225, 0.0173, 0.0167, 0.016, 0.016]"
929,"marxists, marx, karl, friederich, ilitch, engels, lenin, vladimir, 1865, ostrovitianov","[0.2536, 0.1469, 0.1326, 0.1242, 0.1242, 0.1231, 0.111, 0.0978, 0.0442, 0.0442]"
930,"inventadas, genetica, geneticistas, cityjournal, geneticista, vagar, minnesota, institutes, retem, motivacoes","[0.0348, 0.0317, 0.0265, 0.0265, 0.0265, 0.0249, 0.0249, 0.0238, 0.0229, 0.0227]"
931,"interessante, hoje, analise, dourados, situacao, racha, ms, comecou, today, current","[0.1182, 0.1083, 0.085, 0.0833, 0.0548, 0.0525, 0.0422, 0.0417, 0.0416, 0.0412]"
932,"pedrosa, tomas, guaruja, vieira, lucas, amazonas, 32, 39, feedback, sintra","[0.1576, 0.1222, 0.0911, 0.075, 0.0668, 0.0586, 0.0537, 0.0483, 0.0361, 0.0359]"
933,"useruser, useruseruser, marcia, foto, peluso, farias, sandra, conseguindo, paula, quarta","[1.0048, 0.031, 0.0285, 0.0038, 0.0031, 0.0016, 0.0013, 0.0011, 0.0009, 0.0008]"
934,"implementar, andar, tramitagovbr, tramitacao, irpf, escandalo, desoneracao, modernizacao, 2016, reduzir","[0.0156, 0.0121, 0.0109, 0.0101, 0.0091, 0.0091, 0.0088, 0.0082, 0.0076, 0.0076]"
935,"sorrisos, retiro, rosto, amo, novamente, sucesso, colocar, lucro, obrigado, plataforma","[0.3196, 0.2611, 0.2018, 0.1846, 0.0839, 0.077, 0.0742, 0.0548, 0.0545, 0.0451]"
936,"niteroi, almada, botelho, alcantara, wilson, thomas, lucas, conectese, 29, feedback","[0.1474, 0.1117, 0.1017, 0.0679, 0.0567, 0.0538, 0.0424, 0.0373, 0.0356, 0.0351]"
937,"segurada, conteteme, aprendera, investigar, faco, conosco, receba, garantido, contacteme, quero","[0.1338, 0.1338, 0.1317, 0.1145, 0.0872, 0.0636, 0.0634, 0.0532, 0.0529, 0.0447]"
938,"espalhe, dn, espalha, prensalatina, fonte, lida, exposenews, dm, , ","[1.3492, 0.558, 0.2425, 0.1698, 0.1089, 0.0914, 0.0906, 0.0781, 0.0, 0.0]"
939,"mota, mohd, moura, mohan, varis, managing, tool, groups, professional, welcome","[0.1354, 0.0915, 0.0808, 0.0546, 0.0384, 0.0364, 0.0364, 0.0363, 0.0363, 0.0359]"
940,"admin, agradeco, plataforma, recebi, curvando, sucesso, obtive, pagarem, tornado, realmente","[0.0704, 0.0495, 0.0456, 0.0387, 0.0365, 0.036, 0.0349, 0.0341, 0.0339, 0.0319]"
941,"messias, bolsonarooo, jair, recordtv, sabatinado, 21h30, influencienciadores, eraaa, escravizado, desenhado","[0.1007, 0.0529, 0.0527, 0.0473, 0.043, 0.0343, 0.03, 0.03, 0.0231, 0.0183]"
942,"tecmundo, tnh1, telesintese, terabox, tnonline, tse, tmjs, simulador, torre, nota","[0.3207, 0.13, 0.13, 0.1232, 0.1184, 0.1111, 0.0988, 0.0867, 0.0595, 0.0565]"
943,"hacer, obliguen, empujen, deseas, retraso, recuerde, peligroso, movimiento, cambiar, eleccion","[0.0594, 0.051, 0.051, 0.0502, 0.0495, 0.0488, 0.0482, 0.0482, 0.0471, 0.0466]"
944,"puta, filhinho, filho, suco, lombo, papai, mimado, novoeles, ninfyem, carlho","[0.132, 0.0363, 0.0304, 0.0274, 0.0258, 0.0253, 0.0226, 0.0219, 0.0219, 0.0219]"
945,"grecco, milda, suely, del, haarp, tembem, nuvens, chuvoso, nordicos, grecia","[0.639, 0.603, 0.5729, 0.3079, 0.0776, 0.0674, 0.067, 0.0648, 0.0564, 0.0544]"
946,"lixoes, inflacao, argentina, dramatica, desastre, rende, fernandez, argentinos, atinge, inflacionario","[0.1292, 0.0803, 0.0728, 0.0706, 0.0696, 0.0684, 0.0526, 0.0489, 0.0465, 0.0428]"
947,"twitch, expressaobrasil, edo, auditoria, yotube, cortada, 2deg, derrubaram, gravacao, vejam","[1.5976, 1.1928, 0.0555, 0.042, 0.0411, 0.0335, 0.0254, 0.0226, 0.0222, 0.01]"
948,"lancou, desfazer, coordenador, tiros, trocar, fale, janones, rapido, pf, acaba","[0.1266, 0.116, 0.1149, 0.1093, 0.1015, 0.082, 0.0613, 0.0604, 0.0593, 0.0536]"
949,"desgoverno, manifestado, desmentiu, reconhecendo, raiva, ligado, espalhando, nogueira, ciro, vermelho","[0.1033, 0.1027, 0.0925, 0.0901, 0.061, 0.0595, 0.0585, 0.0567, 0.0559, 0.0507]"
950,"janeiro, rio, conectese, feedback, ativar, rosimery, bot, comigo, 41, luiz","[0.0493, 0.0362, 0.0344, 0.0323, 0.0307, 0.0284, 0.0278, 0.025, 0.0234, 0.0229]"
951,"salva, esqueca, remedio, biblia, leia, cachorrinha, neuropatica, midiafarmaceutica, inflamatorios, interessa","[0.162, 0.1288, 0.109, 0.101, 0.1001, 0.067, 0.061, 0.061, 0.0526, 0.0471]"
952,"contacteme, conosco, receba, dm, garantido, apresentamos, beneficio, mostramos, investidor, quero","[0.107, 0.0643, 0.0641, 0.058, 0.0537, 0.0536, 0.0501, 0.0474, 0.046, 0.0452]"
953,"negociada, selecionado, iniciara, famosas, bolsas, faq, ativado, deposito, debito, quantia","[0.073, 0.0724, 0.0686, 0.0684, 0.0624, 0.0624, 0.0622, 0.0617, 0.0599, 0.0529]"
954,"escroto, cheio, petista, lixo, sai, ioooo, iso, duplicavam, umbigos, mendiga","[0.2487, 0.1311, 0.1102, 0.1076, 0.0941, 0.0284, 0.0211, 0.0155, 0.0155, 0.0155]"
955,"marvel, quadrinhos, pfizer, brasillbauru, vingadores, parceria, moderna, empurrando, pfizerman, vacinas","[0.1329, 0.0806, 0.0612, 0.0425, 0.0318, 0.0315, 0.0311, 0.0311, 0.0301, 0.0299]"
956,"antonio, santos, foto, , , , , , , ","[0.4533, 0.4169, 0.115, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
957,"amg, carro, acontecerem, lembro, artur, tiago, fase, uau, sonhos, trabalhando","[0.1058, 0.1041, 0.0638, 0.0597, 0.0533, 0.0517, 0.051, 0.047, 0.0439, 0.0365]"
958,"preso, eleito, vaccari, dep, eleita, othon, bendine, lorenzonni, vaccarezza, aldemir","[0.1021, 0.0471, 0.0452, 0.0438, 0.0305, 0.0271, 0.0271, 0.0271, 0.027, 0.027]"
959,"2200, envio, bolsonaro22, comprovantye, encerrado, 0800, capeta, 30102022, contagem, convide","[0.0838, 0.0838, 0.0765, 0.0696, 0.0575, 0.0571, 0.0546, 0.0533, 0.0515, 0.0465]"
960,"desemprego, 2015, 87, despenca, menor, taxa, indice, trimestre, atinge, patamar","[0.1654, 0.1111, 0.0777, 0.0775, 0.076, 0.0625, 0.0514, 0.0484, 0.0437, 0.0422]"
961,"rumble, ligapatriota, maiores, infromacoes, acesse, site, inscreva, informacoes, clicaquiv, tambem","[0.3807, 0.2178, 0.1079, 0.1071, 0.0904, 0.0755, 0.0578, 0.0427, 0.027, 0.0251]"
962,"amorim, antonio, adriana, foto, eduardo, , , , , ","[0.8337, 0.3978, 0.1379, 0.115, 0.0513, 0.0, 0.0, 0.0, 0.0, 0.0]"
963,"idosos, idoso, ampliarmos, fila, levalos, gestantes, prioridade, mobilidade, votar, reduzida","[0.0773, 0.0566, 0.0274, 0.0261, 0.0232, 0.0231, 0.022, 0.0204, 0.0194, 0.0189]"
964,"legitimos, pagam, desta, feliz, investidores, realmente, mim, empresa, parabens, parte","[0.2866, 0.2479, 0.0739, 0.0736, 0.0732, 0.0658, 0.0553, 0.0515, 0.0441, 0.0385]"
965,"processos, suspensos, absolvido, odebrecht, casos, petista, suposta, mirava, apurava, contrapartidas","[0.0485, 0.0431, 0.0394, 0.0366, 0.03, 0.0298, 0.0281, 0.0265, 0.0265, 0.0264]"
966,"heleno, decidirao, gravissima, indignado, cita, manifesta, general, enigmatica, exalta, impactante","[0.2166, 0.1587, 0.1156, 0.1151, 0.1044, 0.1044, 0.0794, 0.06, 0.0489, 0.0434]"
967,"selva, jornaldacidadeonline, crava, oficial, instituto, decidida, brasmarket, combrasiltv, combrasil, selvacast","[0.1939, 0.1197, 0.1168, 0.1065, 0.0777, 0.0752, 0.0655, 0.055, 0.0505, 0.046]"
